Country,Federation,Pledge Type,ALICE,% of Req.,ATLAS,% of Req.,CMS,% of Req.,LHCb,% of Req.,SUM,% of Req.
Australia,University of Melbourne,CPU (HEP-SPEC06),,,8500,2%,,,,,8500,2%
Australia,University of Melbourne,Disk (Tbytes),,,850,2%,,,,,850,2%
Austria,Austrian Tier-2 Federation,CPU (HEP-SPEC06),,,1857,0%,5000,1%,,,6857,1%
Austria,Austrian Tier-2 Federation,Disk (Tbytes),,,120,0%,500,2%,,,620,1%
Belgium,Belgian Tier-2 Federation,CPU (HEP-SPEC06),,,,,16800,4%,,,16800,4%
Belgium,Belgian Tier-2 Federation,Disk (Tbytes),,,,,2200,8%,,,2200,8%
Brazil,"SPRACE, Sao Paulo",CPU (HEP-SPEC06),,,,,13698,4%,,,13698,4%
Brazil,"SPRACE, Sao Paulo",Disk (Tbytes),,,,,787,3%,,,787,3%
Canada,Canada-East Federation,CPU (HEP-SPEC06),,,10625,3%,,,,,10625,3%
Canada,Canada-East Federation,Disk (Tbytes),,,1300,3%,,,,,1300,3%
Canada,Canada-West Federation,CPU (HEP-SPEC06),,,10625,3%,,,,,10625,3%
Canada,Canada-West Federation,Disk (Tbytes),,,1300,3%,,,,,1300,3%
China,"IHEP, Beijing",CPU (HEP-SPEC06),,,4800,1%,4800,1%,,,9600,1%
China,"IHEP, Beijing",Disk (Tbytes),,,70,0%,320,1%,,,390,1%
Czech Republic,"FZU AS, Prague",CPU (HEP-SPEC06),2000,1%,10000,3%,,,,,12000,2%
Czech Republic,"FZU AS, Prague",Disk (Tbytes),900,7%,1600,3%,,,,,2500,4%
Estonia,"NICPB, Tallinn",CPU (HEP-SPEC06),,,,,45000,12%,,,45000,12%
Estonia,"NICPB, Tallinn",Disk (Tbytes),,,,,1000,4%,,,1000,4%
Finland,NDGF/HIP Tier2,CPU (HEP-SPEC06),,,,,6300,2%,,,6300,2%
Finland,NDGF/HIP Tier2,Disk (Tbytes),,,,,510,2%,,,510,2%
France,CC-IN2P3 AF,CPU (HEP-SPEC06),3000,2%,9750,3%,7600,2%,5200,11%,25550,3%
